,text,label,target
44,"আব্বু হজ্জ্বের পর আমাকে একটা মোবাইল ফোন কিনে দিবে বাজেট মাত্র ৩০০০০ টাকা, বিশেষ মাদক ঘটিত বিষয় মনে হচ্ছে। ",Neutral,0
45,তোমার নাম কোথায় লেখব হাতে না হৃদয়ে? তোমার বাপের সম্পত্তির দলিলে। ,Neutral,0
46,তো এটা আগে তুমি বলবা না ? আগে বললেই তো হতো। ,Neutral,0
47,"সুবর্ণচরে ধর্ষণের সঙ্গে ভোটের সম্পর্ক পায়নি, মানবাধিকার কমিশন। ",Hateful,1
48,রকি বড়–য়া এতদিন কার সাথে দেখা করছে তা দেখার বিষয় নয়। মাসুদ সাঈদি ও তারেক মনোয়ার দেখা করাই তাদের গায়ে কে যেন কেরোসিন ঢেলে দিয়েছে। ,Hateful,1
49,এই জুতার মালিকটা কে হতে পারে ? ,Neutral,0
50,এস দিয়ে যাদের নাম শুরু হয় তারা খুব রোমান্টিক হয়। ,Neutral,0
51,"ক্লাশ পার্টি শেষে ক্লাসের শিক্ষার্থীবৃন্দ, ফুটা করতে চাই ফুটা। ",Hateful,1
52,"অবৈধ অ-সমাজ অ-কল্যাণ মন্ত্রীর ঘোষনা, হিজা পড়া চলবেনা। এসব নাস্তিক ও তাদের দলকে বর্জন ও প্রতিহত করুন। ",Hateful,1
53,"যখন আত্মীয় টাকা দিচ্ছে, কিন্তু মা বলে, না না ও তো বাচ্চা, টাকা দেওয়ার কি আছে?",Neutral,0
54,এই কুলাঙ্গার শেখ হাসিনাকে উপাধি দিয়েছে হযরত শেখ হাসিনা। ,Hateful,1
55,রাশেদ খান মেনন না যেন রাবিশ খান মেথর। ,Hateful,1
56,"নৌকা বোঝাই শাপলা চত্ত্বরের লাশ, কোন সাহসে তোরা ভোট চাস? ",Hateful,1
57,তুমি সেই চুদির ভাই ধার্মিক ছেলেটা না? যে বাড়ির পাশের মসজিদে যায় না কিন্তু ফেসবুকে গার্লফ্রেন্ডের হাত ধরে মক্কায় যাওয়ার ছবি শেয়ার করে। ,Hateful,1
58,"ভয়ঙ্কর সেই রাতের বর্ণনা দিলেন প্রত্যক্ষদর্শী, কত কষ্ট দিয়ে মারা হয়েছে রায়হানকে। ",Hateful,1
59,আপনি আপনার জ্ঞান ধুইয়া পানি খান।,Hateful,1
60,"হায়েনার প্রতিকৃতি, বর্ডারে একটা গুলি করার ক্ষমতা নেই, দেশের মানুষ খুন করতে প্রস্তুত।",Hateful,1
61,"একটু চালাক না হইলে, দুনিয়াতে টেকা খুব কঠিন। ",Neutral,0
62,দেশে এই প্রথম দুই সেনা প্রধানের গোপন ফোনালাপ ফাঁস। ,Hateful,1
63,"বিয়ের পর ওর পড়াশোনার সব দায়িত্ব আমার বলতে থাকা আমার নতুন বর, এদিকে বিয়ের পর আর পড়তে হবে না ভেবে বিয়ে না করা আমি। ",Neutral,0
64,সাবেক নেতার চার আঙুল কেটে নিল ছাত্রলীগ নেতা।,Hateful,1
65,"ঠাকুর একটা ভালো বয়ফ্রেন্ড দাও না। তখন ঠাকুর বলে, দিয়েছিলামা সিন করে রিপ্লাই দিস নি। ",Neutral,0
66,রমজান মাস আসার আগেই পৃথিবীটা আবার আগের মতো হয়ে উঠবে। ইনশাআল্লাহ। ,Neutral,0
67,"প্রেম পায়খানা দুটাই এক। কোনটাই জোর করে হয় না, সময় হলে নিজ থেকেই আসে।",Hateful,1
68,আনুশকার যৌনাঙ্গে বড় পুরুয়াঙ্গ ঢুকিয়ে ধর্ষণ ও হত্যা করলো দিহান। ,Hateful,1
69,"দাদু গেল চমকে, বাঁড়া গেল থমকে, মাথা গেল বমকে, কি দেখে ভাই? ",Hateful,1
70,"বিদেশ থেকে স্ত্রী, প্রেমিকা বশীকরণ করুন। বউ রেখে চাকরীতে গেলেও আর ভয় নেই। ",Hateful,1
71,"ঐ আমার লইগা আরো দুই প্লেট লাগা, আমার মনে হয় গ্যাস্ট্রিক হইছে। ",Neutral,0
72,"ক্ষুধার্ত হাওরবাসীর কান্না ভাত দে হারামজাদা,নইলে মূর্তি খাবো। ",Hateful,1
73,উচ্চ আদালতের নো এরেস্ট নো হ্যারেজ নির্দেশনা থাকা সত্ত্বেও আওয়ামী পুলিশ এভাবে টেনে হিচড়ে নিয়ে যায় জামায়াত নেতা ড.মাসুদকে। ,Hateful,1
74,"যাই হোক, কোনোমতে অনেক সাহস সঞ্চার করে আমি ও বন্ধুরা মিলে স্কুলে যেতে লাগলাম রেজাল্টের খবর জানতে। ",Neutral,0
75," হঠাও হাসিনা, বাঁচাও দেশ। হাসিনা দেশের একটা মাফিয়া। ",Hateful,1
76,২৫ অক্টোবরের আগে ও পরে আওয়ামীলীগ কুত্তাদের অবস্থান ছবিতে প্রকাশ।,Hateful,1
77,প্রাক্তণকে ভুলে যাওয়ার ওষুধ। একবার পান করেই দেখুন। ,Neutral,0
78,যৌনপল্লী উচ্ছেদকারীদের শিরচ্ছেদ করা প্রয়োজন। ,Hateful,1
79,"মসজিদে ঢুকতে টাকা লাগে না, তাও তা খালি পড়ে থাকে। ক্লাবে ঢুকতে টাকা লাগে না, তাও তা হাউজফুল। ",Hateful,1
80,এতক্ষণ সুন্দুরমতো শর্টফিল্ম দেখার পর যখন আপনি জানতে পারেন চাচাতো ভাই মারা গেছে।,Neutral,0
81,"পুলিশের বাধা ভেঙ্গে হেফাজতের অ্যাটাক, ঢাকা অ্যাটাক হেফাজতের। ",Hateful,1
82,আমরা গরিব হইতে পারি কিন্তু ফকির মিসকিন না।,Hateful,1
83,আনুশকা দিহান এবং স্কুল বন্ধের দাবি নিয়ে কঠিন হুংকার দিলেন মুফতি আশরাফ আলী আল মাদানী। ,Hateful,1
84,দেখুন ধর্মজ্ঞানের হিন হিন্দুদের ব্রেন ওয়াস করে ভুল বুঝিয়ে কিভাবে মুসলিম বানানোর ধান্দা করছে মোল্লারা। ,Hateful,1
85,"নির্বাচনে হেরে যাওয়ায় হরতাল ডাকছেন ট্রাম্প, আর ১০ বছর ধরে হরতালের ডাক দেয়া তারেক। ",Hateful,1
86,পাকিস্তানে আমেরিকার পারমানবিক আক্রমনের পরিকল্পনা। ,Hateful,1
87,"স্বামী কালো বলে পুড়িয়ে মারলেন স্ত্রী, এটা দেখে এই কালো মানুষটি টেনশনে পরে গেলেন। ",Hateful,1
88,বোম আর বোমা আল্ট্রা প্রো ম্যাক্স। ,Hateful,1
89,অ্যারেঞ্জড ম্যারেজ কাকে বলে? অ্যারেঞ্জড ম্যারেজ হল প্রেমে ব্যর্থ হবার পর মা বাবার এনে দেওয়া সান্তনা পুরস্কার। ,Neutral,0
90,আনুশকা কেন গিয়েছিল দিহানের বাসায় ? সব কিছু ফাস এবার। ,Hateful,1
91,সাদা চামড়ার ফাদার ডাক্তাররা সেবার নামে মানুষকে ধর্মান্তরিত করছে। ,Hateful,1
92,"বন্ধু যখন হঠাৎ করে বিচিতে টোকা মেরে দেয় তখন আমি বলি, ছুড়ি দিয়া তোর ভুরি ফালাইয়া দিমু।",Hateful,1
93,ব্যাচেলর হয়ে কোন সময় সব থেকে তোর বেশি কষ্ট হয়? যখন হাত পা ব্যাথা করে কিন্তু টিপে দেবার মতো একটা বউ থাকে না। ,Neutral,0
94,"ছি ছি!  সরম! এইসব কি বলে ? না, ওভাবে বলিস না। ",Neutral,0
95,"প্রথমবার জাঙ্ককুক কে দেখার পর আমার নিস্পাপমন, এই মেয়েকে বিয়ে করতেই হবে। ",Neutral,0
96,বিধর্মী স্টাইলে পশু জবাই করে পদ্মায় ভাসিয়ে দিয়ে শুরু করা হলো পদ্মা সেতুর কাজ। অসাম্প্রদায়িক বলে কথা।,Hateful,1
97,"আপনি কি জানেন? প্র্রতিদিন কয়েকমিনিট এরকম করে থাকলে, মেরুদন্ড, হাত, পা নিতম্ব শক্তিশালী হয়, পেশী তৈরী হয় ও মনযোগ দেওয়ার শক্তি বাড়ে। ",Neutral,0
98,অনেকগুলো গার্লফ্রেন্ড থাকার চেয়ে একটা বৌদি থাকা উত্তম। ,Neutral,0
99,পাঁট টাকায় আমরা যা দেখি আর নোয়াখালীর মানুষ যা দেখে। ,Neutral,0
100,একটি গাছে দুইটি বেগুন দেখতে আমার নিজের দুধের মতো।,Hateful,1
101,"ভাবছি বিয়ে করলে কাউকে দাওয়াত করব না, কারণ খেয়ে দেয়ে সবাই খাবারের দোষগুলোই খুজে বেরায়। ",Hateful,1
102,"আমি শুধু কইছি মহাউম্মাদের চেহারা বড়ই সৌন্দর্য, তোর কত্ত বড় সাহস তুই মহাউম্মাদের দিকে নজর দেস। ",Hateful,1
103,পিছনে কালো জ্যাকেট পরে হোগায় আঙ্গুল দেয়া লোকটা তাহসিন না? ,Hateful,1
104,"হাসি নামের এক মেয়ের কিছুতেই বিয়ে হচ্ছিলো না। কারণ, কেউই হাসির পাত্র হতে চায় না। ",Neutral,0
105,"সরকারি চাকুরিজীবী ও তার বউ,  দেখুন তার অবস্থা।",Neutral,0
106,"পরীক্ষা ছাড়া টেস্ট রিপোর্ট দিলে যদি আমার জেল হয়, তবে একই অপরাধে শিক্ষামন্ত্রীকেও জেলে আসতে হবে। ",Hateful,1
107,এলাকার মুরুব্বি যৌবনকালে বুলেটের সামনে দিয়ে হেটেছে বলার পর ৭ বছরের আমি সত্যি সত্যি যা ভাবতাম। ,Hateful,1
108,"সবার মতামতের গুরুত্ব দেয়া উচিৎ, এ কথায় শালায় একমত না তাই মার শালারে। ",Hateful,1
109,"লকডাউনে লম্বা চুল রেখে নিজেদের যা ভাবছি, আর বাস্তবে আমাদের যা লাগছে। ",Neutral,0
110,"দ্বিতীয়, তৃতীয় প্রেম বলে কিছু নেই, মানুষ যখন প্রেমে পরে তখন প্রতিটি প্রেমই প্রথম প্রেম। ",Neutral,0
111,"হয়তো স্টাটাস দিচ্ছি না, তার মানে এই নয় যে আমি ছ্যাকা খাই নাই। ",Hateful,1
112,"যে আগুনকে ভয় পায়, সে আগুনকে ব্যবহার করতে পারে না। ",Neutral,0
113,সাংবাদিক ছবি তুলতে গেলে তাকে ক্ষুধার্ত ভেবে খাবার এগিয়ে দিচ্ছে যুদ্ধবিদ্ধস্থ সিরিয়ার নিস্পাপ বাচ্চাটি।,Hateful,1
114,"গত ছয় মাসে, ক্রসফায়ারে  নিহত ১৩৬ জন, সীমান্তে ২৫ জন। ",Hateful,1
115,"আয় আয় মারবো না, এই প্রতারণার শিকার কে কে হয়েছিলেন? ",Hateful,1
116,"কী বলবি ফোনে বল, আমি বিজি আছি আসতে পারতাম না। ",Neutral,0
117,ছাত্রলীগ নিয়ে মিম বানানোয় বেচারার হাড় গোর সব এক করে দিল ছাত্রলীগ। ,Hateful,1
118,তুই কীসের জ়াঙ্গিয়া পড়িশ?  রূপার।  তাহলে রূপা কী পড়ে? হারামজাদা রূপা কোম্পানির নাম। ,Neutral,0
119,"চুরি করে চ্যাম্পিয়ন হলাম, কারণ, আমরা যে চোরের জাতি। ",Hateful,1
120,প্রয়োজনে বাংলাদেশে ভারতীয় সেনাবাহিনী পাঠানোর হুমকি দিয়েছে বিজেপি নেতা। ,Hateful,1
121,"বেনজির আক্রমন মোদী মমতাকে, একদম ধুয়ে দিলেন। ",Hateful,1
122,মুক্তিযোদ্ধা মঞ্চকে ধোলাই দিলো হুজুর বাহিনী। ,Hateful,1
123,এক হাতে বিচ্ছিন্ন গোড়ালি আর আরেক হাতে নিথর দেহ। নির্মমতা কতদূর হলে জাতি হবে নির্লজ্জ। ,Hateful,1
124,"সব মিমারদের চরিত্র খারাপ, তাতে আমার বাল ছিড়া গেছে। ",Hateful,1
125,ভয়ে পিছু হটছে ভারত। ভারতের গোয়া মারা সারা। ,Hateful,1
126,অবশেষে এটাও দেখতে হল। শেখ হাসিনা ভারতের বেঙ্গালোরের নাগরিক ও ভোটার।,Hateful,1
127,"বিএসএফ পাকিস্তানের চেয়ে বেশি বাংলাদেশি হত্যা করছে, বাংলাদেশ কি এক অঘোষিত ফিলিস্তিন হতে চলেছে? ",Hateful,1
128,এরপর রুমে এসে যখন দেখি মা আমার ল্যাপটপ এর বায়োলজিক্যাল প্রাকটিক্যালগুলা দেখতেছে। ,Neutral,0
129,"বর্তমান সময়ের বাচ্চাদের ছবি, আর আমরা যখন বাচ্চা ছিলাম তখনকার ছবি। ",Neutral,0
130,সর্বকালের শ্রেষ্ঠ বেহায়া। তিনি হলো বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনা। ,Hateful,1
131,"মুসলমান জঙ্গি হতে পারে না, বলছে পীরজাদা আব্বাস সিদ্দিকী। ",Hateful,1
132,কি অপরাধে আজ আমার বোনদের কারাগারে যেতে হলো? ,Hateful,1
133,আওয়ামীলীগের গণতন্ত্রের কুৎসিৎ চেহারা। ,Hateful,1
134,এই ডিজাইন এর জামার সুবিধা আজকে বুঝলাম। ,Neutral,0
135,"মামার সাথে ক্রাইম পেট্রল দেখছিলাম।  আজকের পর্ব,মামাতো বোনের সাথে সম্পর্ক মেনে না নেয়ায় মামাকে খুন। ",Neutral,0
136,যখন কেউ বলে ভালোবাসার আর এক নাম মামাতো বোন। ,Neutral,0
137,"তেমন কিছু না, কালকে ঐ মেয়ের সাথে দেখা করতে গিয়ে জানতে পারলাম, ঐ মেয়ে তার স্বামী এলাকার সবার সাথে পরিচিত হবার জন্য আমার সাথে কথা বলেছিল। ",Neutral,0
138,"কারো হার্টে সমস্যা হলে আমাকে বলবেন,  আমি অপারেশন করতে পারি ইউটিউব থেকে শিখছি। ",Neutral,0
139,আমার বিয়ের রাতে যখন বন্ধু আমাকে জীববিজ্ঞান শিখাতে আসে। ,Neutral,0
140,পার্বত্য চট্টগ্রাম নিয়ে বিদেশী ষড়যন্ত্র চলছে। ,Hateful,1
141,"মুখোশধারী জঙ্গী পাকিস্তানী পেতাত্মা আওয়ামী ওলামালীগ নামধারী দুবৃত্তদের নিষিদ্ধ কর, প্রতিহত কর।",Hateful,1
142,"আমি আমার বন্ধু যখন পাশাপাশি, মামা বিড়িটা একটু এদিকে পাস কর একটা টান দেই। ",Neutral,0
143,"রাঙ্গা একটা পা চাটা কুত্তা নয়, কুত্তার বাচ্চা ",Hateful,1
144,"রাতে ছোট চাচা শোনার পরে,আমিও এক সপ্তাহ হলো গোসল করি না। ",Neutral,0
145,ঐ শোন হ্যাঁ তোকে বলছি তুই একটা শয়তান। ,Hateful,1
146,বিএনপি জামাতের আগুন সন্ত্রাস। রাজধানীতে বাসে আগুন দেয়ার ঘাঁনয় বিএনপি জামাতের ১০ জন আটক।,Hateful,1
147,"মা আপনার মেয়ের মধ্যে অনেক দোষ, জানি বাবা, এই জন্যই তো কোনো ভালো ছেলের সাথে বিয়ে দিতে পারি নাই। ",Neutral,0
148,লক ডাউনের পর মোগো মেহজাবিন আফার প্রথম সেল্ফি। ,Neutral,0
149,"বাবু, বাল ছিড়ছো? বাল ছিড়ে সবগুলো একত্র করে রাখো। ",Hateful,1
150,"আম্মুর ভালোবাসা,আর জিএফ আর ভালোবাসা। ",Neutral,0
151,তারপর আম্মুকে যখন ঐ বিবাহিত মেয়ে সম্পর্কে আমার দুর্বলতার ব্যাপারটা বলি তখন আম্মু। ,Hateful,1
152,"ওরে কেউ ছেলেটাকে একটু বুঝা, ও ক্যামেরার বাইরে আছে। ",Neutral,0
153,"ঘুমের পিছনে দৌড়িও না, পড়াশুনার পেছনে দৌড়াও দেখবে ঝট করে ঘুম চলে এসেছে। ",Neutral,0
154,সেঞ্চুরি করসি মামা!   জিততে পারবা তো ? নাহলে ডিনারের কাচ্চি বিরিয়ানীটা খায়া ফেলুম। ,Neutral,0
155,"জালা পোড়া বিচ্ছেদ মনে কি পড়েনা বন্ধুরে , বাউল মিম সরকার। ",Hateful,1
156,"পুলিশের আটক বাণিজ্য চরমে, নির্যাতিত হচ্ছে অসহায় মানুষ। ",Hateful,1
157,"পদ্মা সেতুর উন্নয়নের ক্রেডিট নিবে আওয়ামীলীগ, তরিকুল ইসলামের ভাঙ্গা পায়ের ক্রেডিট কে নিবে? ",Hateful,1
158,"এক জোড়া জুতার দাম ৪৩ লাখ টাকা, জুতাটা দিয়ে আমাকে একটা বারি দিন। ",Neutral,0
159,"আয়, চল- তোকে আজ মাইর খাওয়ামু।",Hateful,1
160,"মা কানছে, তাই মাকে খুশি করার চেষ্টা করছি। ",Neutral,0
161,"দুধে হরলিক্স মিশান, দুধের শক্তি বাড়ান। তাইলে আমি কি দোষ করছি? খর কুটা না খাওয়াইয়া আমারে  হরলিক্স খাওায়ালেই হয়। ",Neutral,0
162,"তুই যদি গোসল না করিস, আমার মরা মুখ দেখবি। ",Hateful,1
163,ঈদে অন্যান্য জেলার মানুষ যেভাবে ঘরে ফিরে আর বরিশালের মানুষ যেভাবে ঘরে ফিরে। ,Neutral,0
164,বেডার দুধ আছে কিন্তু বেডির দুধ নাই । এ আমি কি দেখলাম? ,Hateful,1
165,কুদ্দুস আমার পাত্রী পক্ষ ঠিক করে দিয়েছে এটা জানার পর আমি টু কুদ্দুস। ,Neutral,0
166,"মাদ্রাসায় সত্যিকারের লেখাপড়া হয় না, জঙ্গী তৈরি হয় - ব্যরিস্টার তানিয়া আমির। ",Hateful,1
167,"মেয়েটির দুধে কোকা কোলা লেখা দেখে বাচ্চাটা বলতে, হরলিক্সের গাঁড় মারি আজকে কোকা কোলা খাব। ",Hateful,1
168,"দুঃখ দিলি কষ্ট দিলি মন তো দিলি না, লাগাতে দিয়েছিলাম ওটাই অনেক|",Neutral,0
169,"যখন আমি বলি, আমার পোস্ট কেউ রিয়েক্ট দেয় না” তখন আমি, আমিতো আছি। ",Neutral,0
170,আওয়ামীলীগ ক্ষমতায় এসে পাট নিয়ে কাজ করার কথা বলে সব পাট কল বন্ধ করে দিয়েছে।,Hateful,1
171,"ভার্সিটি উঠে যেভাবে সময় কাটাবো ভাবছিলাম, আর যেভাবে কাটাচ্ছি। ",Neutral,0
172,সাফল্য তখনই আসে যখন একজন মানুষ তার নিজের ক্ষমতার পুরোটা কোনও কাজে বিলিয়ে দেয়। ,Neutral,0
173,কু-প্রস্তাবে রাজি না হওয়ায় হিন্দু বিধবাকে বেধড়ক পেটালো আওয়ামীলীগ নেতার ছেলে। ,Hateful,1
174,এত বুদ্ধি কোথায় রাখিস রে বাবা?,Neutral,0
175,"খাটো পোষাক পরলেই কেউ চরিত্রহীন হয়ে যায় না, আর ভদ্র পোষাক পরলেই কেউ সতি সাবিত্রী হয়ে যায় না। ",Neutral,0
176,"দূর্গপূজায় বাধা, ভারতের খবর থানায় মামলা ২০০ মন্ডপে পূজাবন্ধ। ",Hateful,1
177,ম্যম!  ও পাদ দিছে। ওর কাছ থেকে আমি শব্দ পাইছি। ,Neutral,0
178,"গরীবের হক মাইরা ধনী হওয়া নেতাকর্মী, শালা কুত্তার বাচ্চার মত আচরণ। ",Hateful,1
179,"বদলা নিতে মরিয়া পাকিস্তান, পালটা হামলার চেষ্টা পাকিস্তানের। ",Hateful,1
180,"তুই কুত্তার বাচ্চা , তুই শুয়োরের বাচ্চা। ",Hateful,1
181,শান্তিতে মুভি দেখার সময় কলিকাতা হারবাল এসে বলছে আপনি কি অসুস্থ ? আপনার কি এক ফাইল লাগবে? ,Neutral,0
182,"দাঁড়ি টুপি দেখলেই যারা মোদের বল জঙ্গি, আখেরাতে তারা হবে আবু জাহেলের সঙ্গি। ",Hateful,1
183,"দলীয় প্রতীকে নির্বাচনের কুফল; গৃহযুদ্ধ ছড়িয়ে পড়েছে গ্রামে ইউনিয়নে, দেশজুড়ে। ",Hateful,1
184,"ছোট, ছোট ফকিন্নি মাইরা ব্যাটা তুই হ্যাডম দেখাস? ",Hateful,1
185,সীল মারো ভাই সীল মারো একাই ১০০ সীল মারো। আওয়ামী ভোট পদ্ধতি। ,Hateful,1
186,"পাকিস্তানের প্রেতাত্মারা পাকিস্তানে ফেরত যা, মুক্তিযুদ্ধের বাংলায় রাজাকারের ঠাই নাই। ",Hateful,1
187,যখন ছোটো ছিলাম তখন ভূতের ভয় পেতাম। কিন্তু বড় হওয়ার পর বুঝতে পারলাম ভূতের চেয়ে মানুষ অনেক বেশি ভয়ংকর। ,Neutral,0
188,"মা, তোমার ঋণ কখনো শোধ হবে না। ",Neutral,0
189,তারপর ভাবতে থাকলাম এবার কি করা যায়। ,Neutral,0
190,"ছোটভাই একা ঘুমাতে ভয় পায় বলে, যখন ঘুমের আগে আয়াতুল কুরসী পড়ে ঘুমাতে বলেন তখন জ¦ীনের অবস্থা। ",Neutral,0
191,"ওরে মাগী! জোরে দে, জোরে দে। জোরে জোরে লাগা।",Hateful,1
192,"আব্বু আমি সাজেক যাবো, আব্বু যাও, না করছে কে? খরচা পাতির একটা ব্যাপার আছে না? ",Neutral,0
193,"বাসে উঠে তোমার বমি পায়, ম্যান ও ওয়াইল্ড দেখে ভাত খেতে থাকা আমি। ",Neutral,0
194,নারীবাদীরা যখন জানতে পারে তাদের জন্মের পেছনে পুরুষেরও ভুমিকা আছে ।  ,Neutral,0
195,"হ্যাঁ ভাই, আজকে আমার বন্ধু আমাকে পেট ভরে বিনিয়ানি খাওয়াইছে। ",Neutral,0
196,গ্রামের খালাতো বোনকে শিশ বাজাতে শিখানোর পর যখন সে প্রথশ শিষ বাজানোর চেষ্টা করে। ,Hateful,1
197,নিজেকে গর্ভবতী মনে হচ্ছে।,Hateful,1
198,তোমাদের মেহেদীর হাতটা একটু দেখবো। ,Neutral,0
199,"চুপ, তুই আবারও মিছা কথা কইতাছোস।  ",Hateful,1
200,"মরে তো কবেই যেতাম, শুধু মোহরের স্যার কোন সাবজেক্টের টিচার জানবো বলে বেঁচে আছি। ",Neutral,0
201,"ও জানু, আমার কথা তোমার কখন বেশি মনে পরে? যখন মা বলে আসতে দে তোর বৌকে, ওকে দিয়েই বাড়ির কাজ করাবো। ",Neutral,0
202,"ফেসবুকের এ্যঞ্জেল প্রিয়া, যখন বাড়িতে থাকে। ",Neutral,0
203,"বাংলাদেশের প্রায় ৮৭৬০৬৩১৬ জন মানুষই অলস, তাদের মধ্যে আবার কিছু মানুষ এতোটাই অলস যে উপরের সংখ্যাটাই পড়লো না। ",Neutral,0
204,"টুরু লাভ, ও মাগো। এতো একদম প্রেগনান্ট করে দিবে। ",Hateful,1
