,text,label,target
32,"অন্যদের ফোনে মেসেজ আসে বাবু খাইছো, কি করো, গুড মর্নিং,  আর আমার ফোনে আসে ১ জিবি ১৭ টাকা মেয়াদ ১২ ঘন্টা। ",Neutral,0
33,"যাও চার্লি, তোমার আম্মুকে বলো যে, তোমার একটা ভাই/বোন লাগবে। ",Neutral,0
34,দুর মিয়া ছাড়েন তো আমি খাবো না আমার এত্ত লোভ নেই। ,Neutral,0
35,"স্যার বই এনেছি, যদিও আমাদেও কোন ব্যাগ নেই। ",Neutral,0
36,এত বড় জাহান্নাম আল্লাহ এদেরকে দিয়েই পরিপূর্ণ করবে। ,Hateful,1
37,"কি ব্যাপার তোমরা লেখা বন্ধ করে গল্প করছো কেন?  ম্যাম প্রশ্নে লেখা আছে, পলাশীর যুদ্ধ সম্পর্কে আলোচনা করো, তাই সবাই মিলে আলোচনা করছি। ",Neutral,0
38,"তুরাগ বাসে উঠলাম,   কিন্তু কোনো ভিড় নাই । ",Neutral,0
39,শুধ দাঁড়ি-টুপির জন্য গ্রেফতার। এটাতো ট্রাম্পের আমেরিকা আর মোদির ভারতেও সম্ভব না। ,Hateful,1
40,"সোনা তোমার নাম কোথায় লিখব হাতে না হৃদয়ে? আরে পাগলি, যদি এতই ভালোবাসিস সম্পত্তির দলিলে নামটা লিখে দেখা দেখি। ",Neutral,0
41,"হাসিনার লগি বৈঠা ভুলি নাই, ভুলব না। ",Hateful,1
42,"‘আমার আর জীবনে বিয়ে হবে না , এইটা ভেবে লোকালয় ছেড়ে সন্ন্যাস হওয়ার প্রতিজ্ঞা করে বাড়ি থেকে বের হয়ে এলাম। ",Neutral,0
43,"অন্যান্য অভিনেতা/নেত্রিরা বিয়ে করে প্রয়োজনীয় শারিরীক চাহিদা মেটাবেন, কিন্তু সালমানের বেলায় এটা প্রযোজ্য নয়। ",Neutral,0
44,সানডে মানডে গোসল করাইয়া দিমু। সানডে মানডে ক্লোজ কইরা দিমু। ,Hateful,1
45,"সেই স্বামী কখনও পথভ্রষ্ট হবে না, যার ঘরে  একজন দ্বীনদার নামাজী স্ত্রী আছে। ",Neutral,0
46,"হারকিউলিস যখন ধর্ষক খুজে পায়, খারকির পোলা তোরে আমি খুইজা বেড়াইতাছি। ",Hateful,1
47,"নিজের নামের বানান নিজে ভুল করার পর, আরো ফোন টিপ শালা। ",Neutral,0
48,"যখন ভিড়ের মধ্যে পকেটমার অনেক কষ্টে আমার পকেটে হাত ঢুকিয়ে পকেট মেরে একটা ছিড়া ২ টাকার নোট ছাড়া কিছুই পায় না, এ আমি কিতার মধ্যে হাত ঢুকাইতেসি। ",Hateful,1
49,বিড়ালের গলায় ঘন্টা বাধার প্রস্তাব দেয়া ইঁদুরকেই যখন বিড়ালের গলায় ঘন্টা বাধতে বল হয়। ভাই আমার এত সাহস নাই। ,Hateful,1
50,বাংলাদেশী দালাল এবং ইন্ডিয়ান মডারেটরদের ওরে গালাগালি । ,Hateful,1
51,তুই শালা জাতীয় বেইমান।  তোরে আমি বিশ^াস করি না শালা। ,Hateful,1
52,মন্টুকে তার মা বলেছিলো ভাই এর খেয়াল রাখবি। ,Neutral,0
53,"ধরা খাইলে জামিন নাই, ধরা খাইলে গুষ্টি মারা সারা।  ",Hateful,1
54,"এই কনকনে ঠান্ডার মধ্যে যখন আমি নিয়মিত গোসল করি, তখন আমার পরিবার। ",Neutral,0
55,আমি তোমার হাতে একটা কিস দিতে পারি? হাতে কেন? আমার ঠোটে কি বিষ আছে নাকি? ,Neutral,0
56,জামাইকে জামাই আদর করতাছি। ,Neutral,0
57,"প্রত্যেকবার ফেসবুকে ফেমিনিস্ট দেখার পর মনে মনে আমি, ভালা জামাই তোর কপালে মিলতো না। ",Neutral,0
58,আওয়ামী সন্ত্রাস ও অরাজকতায় ধ্বংসের মুখে দেশ ও জনগনের শান্তি ও নিরাপত্তা। ,Hateful,1
59,যখন আমার বন্ধুর এক্স তার সামনেই শোঅফ দেখাতে গিয়ে পড়ে যায়। ,Neutral,0
60,"মিজানুরের দুই গালে,  জুতা মারো তালে তালে। ",Hateful,1
61,"টাকা সঞ্চয় করার জন্য বাজেট করা আামি, আর আমার বদভ্যাস। ",Neutral,0
62,তাই সে এ সম্পর্ক কিছুতেই মেনে নেয় না। ,Neutral,0
63,সবগুলোতে সিল মারা কিসে ভোট দিবো? শালারা আমার ভোটের অধিকার কেড়ে নিল। ,Hateful,1
64,"এদিকে কোমা থেকে উঠে যখন জীনকে দেখে বলি, আরে হোয়াটস আপ ব্রো! আমার সাহস দেখে বেচারা জীন। ",Neutral,0
65,"প্যান্ট শার্ট টাই পরে, ঝাড়ু হাতে ময়লা পরিস্কারের অভিনয় না করে। ঘুষ খাওয়া বন্ধ করে, নিজের মনটাকে আগে পরিস্কার করুন। ",Hateful,1
66,পর্ণ ভিডিও দেখে যখন দেখি চাচাতো ভাই আমার আম্মুকে বিচার দিতে যায়। ,Neutral,0
67,"ভারত এদেশের ভূমি দাবি করার সাহস পেয়েছে, কারন তারা এদেশের দালাল দেখেছে কিন্তু এদেশের দামাল ছেলে দেখেনি। ",Hateful,1
68,"কারাগাওরে পাপিয়ার করুন জীবন, দেখতে আসে না কেউ। ",Hateful,1
69,"ভয় পেলেই আপনি পরাজিত, সেই জন্যই ওরা আপনাকে ভয় দেখায়। ",Hateful,1
70,মরে যাও মুক্তি চাইনা।   তোমার মুক্তি দিয়া আমি কি করমু? ,Hateful,1
71,গ্রিন টি টা কোন কেঁটলিতে পাবো ?,Neutral,0
72,উপকার করলে শরীরের ছাল থাকে না। অর্জুন গাছটাই তার বড় প্রমাণ। ,Neutral,0
73,"বাসে, ট্রেনে উঠতে মানিব্যাগ মোবাইল সাবধানে রাখবেন। ",Neutral,0
74,"তুমি তো বেয়াদব, বিরাট বেয়াদব।",Hateful,1
75,"খেলনার ভেতর চুম্বক আছে জানার পর আমি বলি, তোকে ভাঙ্গা ছাড়া আর উপায় নাই। ",Hateful,1
76,পেতিœ মাথার উপরে মুতে দেয় প্রসাব খুব গন্ধ। ,Hateful,1
77,"আমি সরকারি চাকরি করি, তোমার এই এক কথায় তোমার দোন আমি মুখে নিতেও রাজি। ",Hateful,1
78,কুলাঙ্গার নিক্সন চৌধুরী আলেমদের কে বলে আসেন খেলা হবে। ,Hateful,1
79,মন্ত্রী মোশাররফই ধ্বংস করেছেন বাংলাদেশের শ্রমবাজার।,Hateful,1
80,"ছোট বাই এর এই অবস্থা দেখে আমি, যেমন কর্ম তেমন ফল। ",Neutral,0
81,চিনে রাখুন এই মালাউনটি কে। এই মালাউন হলো দেশদ্রোহী। ,Hateful,1
82,মানবিকতা নয় পাশবিকতাই জয়ী। যাদের কাছে গরুর জীবনের দাম মানুষের জীবনের দামের থেকে বেশী। ,Hateful,1
83,ভাই বোনের ভালোবাসা।  এরকমই হয় ভাই বোনের ভালবাসা। ,Neutral,0
84,"গার্লফ্রেন্ড যখন ইচিং বিচিং কাজ করতে রাজি না হয়, বয়ফ্রেন্ড বলে, তাইলে তোমারে দিয়া আমার কি বালের কাম শুনি?",Neutral,0
85,মা দুই টাকা দেও। বেকারদের বর্তমান চাহিদা এটাই। ,Neutral,0
86,ডিবি পরিচেয়ে তুলে নেয়ার পর বাঁশবাগানে যুবকের লাশ। ,Hateful,1
87,"কুকুর বেড়াল মেরনা, নাস্তিক পেলে ছেড় না। ",Hateful,1
88,ভারতে করোনা রোধে গোমূত্র পানের পার্টি। ,Hateful,1
89,আনুশকা ও দিহানের বয়স নিয়ে গভীর ষড়যন্ত্র শুনলে অবাক হয়ে যাবেন। ,Hateful,1
90,মনে পড়ে শাহবাগের সেই গাঞ্জার আড্ডা আর চাঁদাবাজির দিনগুলি। ,Hateful,1
91,এরকম একটা মেয়ে যদি আমার বেটার বউ হইতো। ,Neutral,0
92,সকালে ঘুম ভাঙার পর ছেলেদের লিঙ্গ দাড়িয়ে থাকার কারণ। ,Hateful,1
93,"ভাবী পাইয়া গেছি, ম্যানশন হপ্পে পরানের ভাইরে। ",Neutral,0
94,দিহানের তিন বন্ধুর ভাগ্য ফরেনসিক রিপোর্টের উপর ঝুলে আছে। ,Hateful,1
95,"রিলেশনটা কতো দিনের সেটা বড়ো বিষয় নয়, তার কাছে তোমার গুরুত্ব কতোটা সেটাই বড়ো বিষয়। ",Neutral,0
96,"হেসে লাভ নাই, এইবার মাইর খাবা। কোন মাফ পাবা না। ",Hateful,1
97,নায়ককে মারার জন্য অনেক গুন্ডা পাঠায় তখন গুন্ডা আর নায়ক। ,Hateful,1
98,গুম রাজনীতির উত্থান করেছিলো শেখ মুজিব। ,Hateful,1
99,"হত্যা মামলার তদন্তে রং মাখানো চেষ্টায় মরিয়া পুলিশ, অশিক্ষিত মাজারের খাদেমকে ধরে সাবেক শিবির কর্মী বলে প্রচার। ",Hateful,1
100,গোপন সুড়ঙ্গ পথের মুখ। এখান থেকে গোপনে চলে যাওয়া যাবে। ,Neutral,0
101,"সৎ সঙ্গে বিরিয়ানি, অসৎ সঙ্গে বিড়িটানি। ",Neutral,0
102,বলতো অপারেশনের আগে রোগীকে অজ্ঞান করা হয় কেন? রোগী যাতে ডাক্তারী শিখে না যায়। ,Neutral,0
103,বোনের উপর বাটপারি। আর বাটপারি করিস না। ,Neutral,0
104,"আনুষ্কার ধর্ষনের ভিডিও, কি নির্মম এবং নিষ্ঠুর আচরন দিহানের!",Hateful,1
105,সুন্দরীকে দেখে তাকে নিয়ে সারাদিন-রাত বাসর রাতের স্বপ্ন দেখতে থাকা আমি। ,Neutral,0
106,"পৃথিবীতে একটাই সমস্যা, সেটা হলো বউ। কেউ নিয়ে আসার জন্য কাঁদছে আর কেউ নিয়ে এসে কাঁদছে। ",Neutral,0
107,"আমার জুতা, তোর মুখ। জুতা মেরে তোর অবস্থা খারাপ করে দেব। ",Hateful,1
108,"নোয়াখালী কলেজের ছাত্র,  এমনই ট্যালেন্ট হয়। ",Neutral,0
109,মেয়রপুত্র সাম্য হত্যায় তিনজনের ফাঁসির আদেশ। ,Hateful,1
110,বাংলা সিনেমায় পায়ে পায়ে ঘসা লাগার পর। ,Neutral,0
111,"আপনার গু কোন শিল্পকর্ম নয় যে সবাইকে দেখানো লাগবে, দয়া করে পর্যাপ্ত পরিমান পানি ঢালুন। ",Neutral,0
112,তুমি সরকারি চাকরি না পেলে আমার ফ্যামিলি মেনে নেবে না । আর পেলে আমার ফ্যামিলি মেনে নিবে না। ,Neutral,0
113,"রাতের বেলা এলাকার এক চাচার সাথে বাড়ি ফেরার সময় যখন চাচা বলে, আমাদের সময় ভালো থাকা বইটা থাকলে আমার আর সেদিন সুইসাইড করা লাগতো না। ",Hateful,1
114,দিহানের বাসার সি.সি. টিভিতে পাওয়া গেল টানা দেড় ঘন্টা বিছানায় আনুশকা। ,Hateful,1
115,"স্যার একটা বেআইনি মদের  ট্রাক ধরেছি, সাবাস! আর একটা চানাচুরের ট্রাক ধরে ফেলো, তাহলে আজ রাতে একটা পার্টি হয়ে যাবে। ",Hateful,1
116,"মাথা ফাইট্টা দyইভাগ না হলে, এইগুলার শিক্ষা হবে না। ",Neutral,0
117,বাংলার মুসলমান হত্যা করতে তুই ই পারবিরে পাগলী।,Hateful,1
118,কথা ক তোর বাপের লগে কথা ক। ,Hateful,1
119,"তোর কপালে জুতার বারি, হারামি।",Hateful,1
120,"দাদার দেশ ভারত যাচ্ছি, তা দিদি খেয়ে এসেছেন? না , যেয়ে খাবেন ? ",Hateful,1
121,খানকির পোলায় কয় কি?  ওয়ান টু তে খালাস কইরা দিমু।,Hateful,1
122,তারপর ঐ মেয়ে ও তার স্বামীর ডিভোর্সের ব্যাপারে বড়ভাই একটা বুদ্ধি বের করলো। ,Neutral,0
123,"চারিদিকে একই সুর, হাসিনা তুই ভোট চোর। ",Hateful,1
124,তারপর ঐ জীন তার গার্লফ্রেন্ড জীনকে নিয়ে আমার সামনে থেকে চলে যায়। ,Neutral,0
125,ম্যা গরিব নেহি হু। আমাকে গরীব বলবা না। ,Neutral,0
126,"জয় বাংলা, জয় বঙ্গবন্ধু। চুতমারানির পোলা আগে বিসমিল্লা কইলি না কেন? ",Hateful,1
127,প্রশ্ন শোনার পর রুপা। আমি তো জীবনে এমন প্রশ্ন শুনি নাই। ,Neutral,0
128,"রাত ৩ টা বাজে বাথরুমে গিয়ে এক্সের কথা ভেবে আমি যখন কাদতে থাকি, তখন বাথরুমে থাকা জি¦ন। ",Neutral,0
129,এই লোকটা তোদের বাবার খুনি! একে তোর ছাড়বি না। ,Hateful,1
130,"চৈত্র মাসের গরম, নষ্টা মাগির চেয়েও বেশরম। ",Hateful,1
131,চোরাই বিয়া খাওয়ার সময় যখন দুই পক্ষের লোক আপনাদের  দিকে আসতে থাকে। ,Neutral,0
132,আমার চেয়ে বেশি প্যাচ দুনিয়াতে নাই। উচ্চতর গণিত তার চেয়েও প্যাচওয়ালা। ,Neutral,0
133,"আমিও মমতাদির উত্তরে বলি যে, আমি তো সন্দেশই বুঝাইছি। ",Neutral,0
134,তোমার আমার গোপন পীরিত।  সে কি ভোলা যায় শালী? ,Hateful,1
135,তিন তালাক কতটা যুক্তিযুক্ত? এটা ধর্মের বিধান নিয়ে কথা বলার শামিল। ,Hateful,1
136,"করোনা মহামারি, স্বাস্থ্য সেবা। চাল চোর, তেল চোর রাজনীতি ও পরিকল্পনা নিয়ে খোলামেলা কথা। ",Hateful,1
137,যার মান আছে তারেই ফ্রেন্ডস ভালো বাসে ফ্রেন্ডস। ,Neutral,0
138,"যাই হোক, মানবতার খাতিরে আজকে কোনোরকম মামাতো ভাইয়ের বিয়ে খেতে যাচ্ছি। ",Neutral,0
139,"আমাদেরকে বাইক না দিয়ে, নৌকা দিলেই পারতো। ",Neutral,0
140,"পুরা কথা ডা তো কইতে দিবা, আচ্ছা যাও ঘুমাইতাছি|",Neutral,0
141,"আগেই কইছিলাম, এই পোলা জিনিয়াস। ",Neutral,0
142,স্ত্রীর সম্মতি ছাড়া যৌন সম্পর্ক ধর্ষণ গণ্য হবে বলা তার বউ  এবং যৌন অক্ষমতা নিয়ে বসে থাকা স্বামী। ,Neutral,0
143,"বান্ধবী তোর ছোট বেলার পিক, যখন তুই একেবারে ছোট ছিলি। ",Neutral,0
144,"ঈদ শপিং নিয়ে মাথা ব্যাথা নেই, তাহলে আপনি বড় হয়ে গেছেন। ",Neutral,0
145,"বাচ্চার শত্রু বাচ্চা, চোখে জল আসবেই। ",Hateful,1
146,মালাউন গালির জবাব দিবে হিন্দু জাতি। ,Hateful,1
147,"সমস্যা হাজারটা, সমাধান একটাই, অভিনেত্রীর পতন চাই। ",Hateful,1
148,ঐ ভাতিজা মাস্ক কই? মাস্ক ছাড়া তুমি কোথায় যাচ্ছ ? ,Neutral,0
149,ঘরে বসে পয়সা ডাবল করার সহজ উপায়। ,Neutral,0
150,লাইভ পর্ণ দেখে চেতনাদন্ড নাড়াতে নাড়াতে উত্তেজনার চরম মূহুর্তে এসে যখন এমবি শেষ হয়ে যায়। ,Hateful,1
151,এই কাঁটা ঘায়ে চিলি সস দেবে না। ,Neutral,0
152,দিহান আনুস্কার নিতম্বে পিটিয়ে কি অবস্থা করেছে দেখুন। ,Hateful,1
153,"শেভ করলে তোমাকে দারুন লাগে, আর তোমাকেও । ",Neutral,0
154,"যখন আব্বু ও ভাইয়া দুজনে হঠাৎ এসে বলে, ফাহিম তোর জন্য বাইরে একটা সারপ্রাইজ অপেক্ষা করছে। গিয়ে দেখে আয়, তখন। ",Neutral,0
155,"কিন্তু যখন পরে আব্বু বলে যে, চাচাতো ভাই বাসের কন্ডাক্টরের চাকরী পেয়েছে , তখন। ",Neutral,0
156,লবন চর্বি বাড়ায়  আর শসা চর্বি কমায়। আমরা বাঙালি লবণ দিয়ে শসা খাই। ,Neutral,0
157,"আমি, পানি গরম করে দাও গোসল করবো। আম্মু, তুমি কি রাজপুত্র? ",Neutral,0
158,ভালোবাসার মানুষকে বিয়ে করার জন্য হলেও পড়তে বসুন। ,Neutral,0
159,"মেনশন করুন আপনার সেই ফ্রেন্ডকে, যাকে এর সাতে বিয়ে দিতে চান। ",Neutral,0
160,আচ্ছা আমি মারা গেলে তুমি কি আবার বিয়ে করবে? প্রথমেই খবর নিব এক্স সিঙ্গেল আছে কিনা?,Neutral,0
161,"যাবোনা কালকে, কেনো? কার বাচ্চা? কুত্তার বাচ্চা ওটা থার্মোমিটার আমার। ",Neutral,0
162,"শিশু হসপিটালেও এত বাবু থাকে না, মেয়েদের ইনবক্সে যতগুলা বাবু থাকে। ",Neutral,0
163,গার্মেন্টস ধ্বংসে ২০ হাজার ভারতীয় ম্যানেজারের ইন্ধন। ,Hateful,1
164,"বাবা কোন সময় ধনী কিংবা গরীব হয় না, বাবা সবসময় বাবাই হয়। ",Neutral,0
165,"চীনের জীবাণু যুদ্ধ, তৃতীয় বিশ^যুদ্ধের মহড়া। ",Hateful,1
166,যখন আম্মুকে কেউ আমাকে তাড়াতাড়ি বিয়ে করানোর ব্যাপারে পরামর্শ দেয়। ,Neutral,0
167,যখন প্রোপোজ করতে গিয়ে প্রেমিকার বাবার এন্ট্রি হয়। কাকা ফুলটা আপনার জন্য এনেছি আজ বিশ^ কাকা দিবস। ,Neutral,0
168,ওরা কারা? যারা  বাচ্চা দেখলেই আদর করা শুরু করে দেয়। ,Neutral,0
169,বাড়ি আছে থাকতে পারেন না। ,Neutral,0
170,বন্ধু যখণ পাশে বসে বিড়ি জালায় আর যখন আপনাকে বিড়ির পুটকি দেয়। ,Hateful,1
171,"পৃথিবীতে একটাই সমস্য সেটা হলো বউ, কেউ আনার জন্য কাঁদছে আর কেউ এনে কাদছে। ",Neutral,0
172,শরীর নয় এডাল্ট টয় ঢুকিয়ে দিয়েছে আনুশকাকে। ,Hateful,1
173,"যখন কোন নিব্বা প্লে বয়কে বলে, দেহ পাবি মন পাবি না। ",Hateful,1
174,"তারপর শুরু হয় প্রেম, আই লাভ ইউ। ",Neutral,0
175,"আনুশকা ধর্ষনের গোপন ভিডিও, সেক্স টয়ের ব্যবহার। ",Hateful,1
176,"হবে তো শুরু চোষা হবে শুধু, মজা নিবা তোমরা আছি সাথে আমরা। ",Hateful,1
177,শুনলাম তুমি নাকি প্রেম করো? ঘটনা কি সত্যি?,Neutral,0
178,দীর্ঘ সময় ধরে যৌন মিলনের কারণে ইনজুরিতে ওয়ার স্ত্রীর বেফাঁস মন্তব্য। ,Hateful,1
179,"হালার-পো হালা, আজ তোর একদিন, কি আমার একদিন। ভোট না দিয়া যাবি কই? ",Hateful,1
180,মস্তিষ্ক হলো এমন একটা জিনিস যেটা সারাজীবন আমাদের চালায় কিন্তু পরীক্ষার সময় হলেই শালা কাজ করা বন্ধ করে দেয়। ,Neutral,0
181,"রাষ্ট্রীয় দায়িত্ব রাষ্ট্রপতির হাতে নাই, গোপন তথ্য ফাঁস করলেন রাষ্ট্রপতি। ",Hateful,1
182,"হাথরস গণধর্ষণ, আজ ভারতের নিই নর্মাল। ",Hateful,1
183,দেশটা কি ফেরআউনী রাষ্ট্র হয়ে গেল? কয়দিন পর হয়ত স্বামী-স্ত্রী একসাথে দেখলে নাশকতার অভিযোগে গ্রেফতার করা হবে।,Hateful,1
184,সরকার ধর্মদ্রোহী নাস্তিকদের বিরুদ্ধে ব্যবস্থা না নিয়ে ধর্মীয় মূল্যবোধে বিশ্বাসী আমারদেশ পত্রিকার বিরুদ্ধে ব্যবস্থা নিচ্ছে। ,Hateful,1
185,সীমান্ত হত্যা বন্ধের দাবীতে প্রতিকী লাশ নিয়ে ঢাকা থেকে কুড়িগ্রামের অনন্তপুর হেটে যাত্রা।  ,Hateful,1
186,মাওলানা নিজামীল রিভিউ খরিজের আগে ভারতীয় হাইকমিশনারের বৈঠক প্রধান বিচারপতির সাথে। ফাঁসির পর হাসিনাকে আমন্ত্রণ। ,Hateful,1
187,"দিহান আনুশকার ঘটনার নতৃন মোড়, দিহান কি ঔষধ সেবন করেছিল বললেন ডাক্তার। ",Hateful,1
188,"এদিকে রুপার বুকে তিল আছে, এটা আমার ভাইয়া কিভাবে জানতে পারলো, ভাবতে থাকা হিমু। ",Hateful,1
189,সাকিব আল হাসানের  পূজা উদ্বোধনের নেপথ্যের ঘটনা।,Hateful,1
190,"জানি ছ্যাকা দেবে, তাও একটা শেষ চেষ্ট করব। ",Neutral,0
191,"আমি গতকাল মেয়েটিকে বললাম বাসায় পৌছে কল দিতে, মেয়েটার মনে হয় বাসা নাই। ",Neutral,0
192,"নিব্বি প্রথম বার তার ফাকবয় বয়ফ্রেন্ড এর সাথে ডেট করার পর, জব্বর জোরে গুতিয়েছে রে। ",Hateful,1
193,ফাসির হাত থেকে বাচতে দিহানের নতুন ফাদ। ,Hateful,1
194,অনেকদিন পর জেলে যাচ্ছি তাই পুলিশের সাথে সেলফি। ,Hateful,1
195,"রেগে যাচ্ছেন কোনো? রাগবেন না, বেশি রাগলে হার্টের ক্ষতি হয়। ",Hateful,1
196,এত উকুন নিয়ে রাতে ঘুমোস কী করে বু ?,Neutral,0
197,"আমি,আমার পানি খাওয়ার মগ ও বাসায় আসা আত্মীয়। ",Neutral,0
198,বাপের পকেট থেইকা টাকা চুরি কইরা যখন আবার সেই টাকা বাপের সাথে সাথে আমিও খুঁজতে থাকি। ,Neutral,0
199,"আমার যেকোনো ধরনের খুশির সংবাদ পাওয়ার পর, আমার বন্ধু সমাজ, ট্রিট দে । ",Neutral,0
200,কি করছো দিহান? আমার লাগছে। আমিতো মরে যাবো আর পারছি না। ,Hateful,1
201,"জি¦ স্যার বুঝছি, আমাকে বুঝাও কি বুঝছো? ",Neutral,0
202,"সালাহ উদ্দিন বলছিলেন, আমি কিন্তু বাংলাদেশে মন্ত্রী ছিলাম। কিন্তু কেউ বিশ^াস করেনি।",Hateful,1
203,শীতকালে বিবাহিতরা আর অবিবাহিতরা। ,Neutral,0
204,ইফ যদি ইজ হয় বাট কিন্তু হোয়াট কি? ভাবতে থাকা ৭ বছর বয়সী আমি। ,Neutral,0
205,"পদচ্যূত হচ্ছেন জেনারেল আজিজ, নতুন ভালোবাসা লে.জে. সফিক। ",Hateful,1
206,আন্তর্জাতিক মিডিয়ায় দেয়া বিভিন্ন সাক্ষাৎকারে জয় কেন বাংলাদেশ সেনাবাহিনীর সমালোচনা করে বিদ্রোহের জন্য সেনাবাহিনীকে দায়ী করলেন? এ প্রশ্নের উত্তর এখনো মিলেনি।,Hateful,1
207,কিপ্টামির জন্য যদি কেউ নোবেল পেত তাহলে তোমার কোন বন্ধু পেতো? ,Neutral,0
208,"জনগনের টাকায় নির্বাচনী ব্যয়, কৈ এর তেলে কৈ ভাজা। ",Hateful,1
209,"যখন স্বামী বলে বাচ্চাদের অন্যরুমে ঘুমাই দেও, তোমার জন্য চকলেট আনছি।",Neutral,0
210,কোটা বিরোধী আন্দোলনে জড়িতরা পাকিস্তানিদের দোসরঃ খাদ্যমন্ত্রী। ,Hateful,1
211,এই শালা তোর বন্ধু কই?   তোর বন্ধুরে আমার সামনে ডেকে আন। ,Hateful,1
212,"যখন তুমি মজা করে বিরানী খাচ্ছো, কিন্তু হঠাৎ করে এলাচি এ কামর পরে।  ",Neutral,0
213,"জানি জুতার বারি খাবো, তবুও শেষ চেষ্টা করতে হবে। ",Hateful,1
214,ধর্মকে ভিত্তি করে কোন রাজনৈতিক দল হতে পারেনা- তারেক। মাদরাসা ও মাদরাসা ছাত্র কমানোর কাজ শুরু করে দিয়েছি- জয়। পার্থক্য নেই। ,Hateful,1
215,আনুশকার যৌনাঙ্গে মিলেছে ফরেন বডির আলামত। কি ছিল সেটা? ,Hateful,1
216,এখন বুজতেসি কোন বন্ধুর সাথে বসলে বেশি সুবিধা পাবো। ,Neutral,0
