label,text,target,pred,tensor
Political,মান্নাদের আসল উদ্দেশ্য ফাঁস করে দিসে নতুন প্রজন্মের মাহী চৌধুরী.. ,1,1,"tensor([2.0118e-02, 9.6711e-01, 7.3791e-04, 4.9511e-03, 7.0835e-03],
       device='cuda:0')"
Geopolitical,সাবাস পাকিস্তান বাংলাদেশ যেখানে ভারতীয় জানোয়ার গুলির,3,3,"tensor([5.2128e-04, 5.3353e-04, 2.1845e-03, 9.9659e-01, 1.7097e-04],
       device='cuda:0')"
Personal,ফালতু মিডিয়ালজ্জা করে না অন্যদের সম্পর্কে অশালীন মন্তব্য করতে! ,0,0,"tensor([9.9543e-01, 7.0380e-04, 2.6200e-03, 9.9787e-04, 2.5291e-04],
       device='cuda:0')"
Geopolitical, কোট সংস্কার আন্দোলনের বিরুদ্ধে ছাত্রলীগের মিছিল,3,3,"tensor([9.2357e-04, 1.2137e-02, 1.4078e-03, 9.8496e-01, 5.7126e-04],
       device='cuda:0')"
Personal,গোপনে ভিডিও করে তাদের কে সমাজে ছোট করার কোন মানে হয় ,0,0,"tensor([9.9638e-01, 1.2979e-03, 1.0036e-03, 9.2154e-04, 3.9646e-04],
       device='cuda:0')"
Personal,কুকুরের লেজ কোনোদিন সোজা হয় না ,0,0,"tensor([9.9802e-01, 4.0795e-04, 3.9443e-04, 8.2254e-04, 3.5237e-04],
       device='cuda:0')"
Personal,পাছায় বারি খাওয়ার পর শোওফিকের তামাশা করতে ভাল লাগে!!!,0,0,"tensor([9.9716e-01, 1.4504e-03, 7.0241e-04, 3.8370e-04, 3.0133e-04],
       device='cuda:0')"
Personal,৫০ লাখ টাকা খরচ হলেও তোমাকে দেখে নেব ,0,0,"tensor([9.5049e-01, 6.4571e-04, 5.6977e-04, 1.8137e-03, 4.6484e-02],
       device='cuda:0')"
Geopolitical,পাকিস্তানের হুমকি পেয়ে ভারত বুঝি ভয় পেয়ে ঈদুরের গর্ত খুজছে,3,3,"tensor([9.0604e-04, 2.4980e-04, 9.6790e-04, 9.9763e-01, 2.4967e-04],
       device='cuda:0')"
Personal,রানু মণ্ডল কে ধ্বংস করতে আসছে নেমেসিস ,0,0,"tensor([9.9759e-01, 5.3615e-04, 1.8024e-04, 5.0923e-04, 1.1843e-03],
       device='cuda:0')"
Geopolitical,ভার্মায় প্রতিদিন হাজার হাজার মুসলিম রোহিঙ্গাদেরকে হত্যা করা হচ্ছে কিন্তূ তাদেরকে আশ্রয় না দিয়ে তাদের প্রতি কোন সমবেদনা তিনি জানান না অথচ ভারত ট্রেন দুর্গটনা করছে তাতেই তিনি সমবেদনা জানাতে ম্রিয়মান। কিন্তূ মুসলিম প্রতি নেই কেন কোন সমবেদনা?ভারত থেকে ভেসে আসা একটি হাতিকে বাঁচাতে সরকার আর মিডিয়ার কত আয়োজন ছিল আমরা দেখলাম অথচ মায়ানমারের বৌদ্ধ সন্ত্রাসীদের হামলা থেকে প্রানে বেঁচে আসা আরাকানি রোহিংগা মুসলমানদের এতোটুকু মাথা গোজার আশ্রয় দেয়ার মত কেউ নাই বরং সাগরের পানিতে ভেসে আসা এই মানুষগুলোকে কক,3,3,"tensor([4.6704e-04, 2.4303e-04, 4.7229e-04, 9.9853e-01, 2.8844e-04],
       device='cuda:0')"
Political,রব্বানী এই সময়ে যা করেছে। সারা বি এনপি ও আওয়ামীলীগ মিলেও তা করতে পারেনি,1,1,"tensor([7.7499e-04, 9.9724e-01, 2.9932e-04, 1.2611e-03, 4.2866e-04],
       device='cuda:0')"
Geopolitical,দেখেন বাংলাদেশের বন্ধু বলে কি।তারপরও অাওয়ামিলীগ ভারতের পা চাটবেই।,3,3,"tensor([2.4873e-04, 2.9190e-03, 5.0210e-04, 9.9614e-01, 1.8697e-04],
       device='cuda:0')"
Personal,নাটকের ভালো একজন অভিনেত কে কাকে বললি সালার মাদার চোদ ,0,0,"tensor([0.7918, 0.0243, 0.0075, 0.0084, 0.1680], device='cuda:0')"
Geopolitical,কিনা আর তৈরী করা এক নয়। ভারত কিনবে আর আর চীন পাকিস্তান ভারতের গুন সংগ্রহে থাকবে। ভারতকে বিশ্বের মধ্যে নাম্বার গরিবের ভান্ডার বলা হয় সেই ভারতের এত উচ্চাকাংক্ষা ভালোর তো দুরে থাক ভারতের জন্য ধ্বংস ডেকে আনবে।,3,3,"tensor([3.6826e-04, 7.0648e-04, 2.0392e-04, 9.9851e-01, 2.0798e-04],
       device='cuda:0')"
Geopolitical,এডমিন তুই যে ভারতের দালাল এটা সবাই জানে,3,3,"tensor([4.2954e-04, 2.4957e-04, 2.3995e-03, 9.9677e-01, 1.4750e-04],
       device='cuda:0')"
Personal,অকেজো কিডনি নিয়ে রাস্তায় রাস্তায় মা ঘুরে বেড়ালেও এই মহিলা খবর নেন না কিন্তু ছাত্রীদের অধিকার আন্দোলনে তিনি সোচ্চার ,0,0,"tensor([9.7614e-01, 1.0746e-03, 8.8735e-04, 6.2423e-03, 1.5657e-02],
       device='cuda:0')"
Religious,এই শালা কে কি কুত্তা পয়দা করছিল নাকি শয়তান পয়দা করছিল সালায় কয় কি,2,0,"tensor([9.9638e-01, 6.5041e-04, 3.5781e-04, 9.2644e-04, 1.6808e-03],
       device='cuda:0')"
Gender abusive,মমতাজের মতো নাপাক মহিলা সংসদে কেন।,4,1,"tensor([0.0368, 0.6684, 0.0066, 0.0042, 0.2839], device='cuda:0')"
Religious, ধুর শালা মালাউনের বাচ্চা মাদারচুদের বাচ্চা। ,2,2,"tensor([3.1192e-04, 5.4754e-04, 9.9860e-01, 3.1659e-04, 2.2868e-04],
       device='cuda:0')"
Political,দুর্নামের অতল গহ্বরে তলিয়ে  যাচ্ছে  আওয়ামিলীগ  ছাএলীগ যুবলীগ,1,1,"tensor([6.0514e-04, 9.4339e-01, 3.6599e-04, 5.4714e-02, 9.2746e-04],
       device='cuda:0')"
Personal,ফালতু একটা পরিচালক জুতা পেটা করা দরকার  ,0,0,"tensor([8.3385e-01, 1.2398e-02, 3.4647e-04, 6.1458e-03, 1.4726e-01],
       device='cuda:0')"
Personal,বাংলাদেশে যদি কোন খানকি থাকে সেইটা হলো টয়া,0,4,"tensor([1.2865e-01, 1.8190e-03, 1.6268e-04, 4.8252e-03, 8.6454e-01],
       device='cuda:0')"
Personal,ওর আর কোনোদিন ফাসি হবে না,0,0,"tensor([9.9874e-01, 2.8471e-04, 2.0755e-04, 3.4990e-04, 4.2039e-04],
       device='cuda:0')"
Religious,ঠিক এমনি অত্যাচার করে ছিলো ইহুদিরা আমার প্রিয় নবী হজরত  মোহাম্মদ (সঃ) কে ।,2,2,"tensor([5.3539e-04, 3.7832e-04, 9.9763e-01, 1.1168e-03, 3.4098e-04],
       device='cuda:0')"
Geopolitical,"দেশজুড়ে শুধু লাশ আর লাশ, সব জনগনের দোষ ",3,3,"tensor([1.1053e-02, 2.9673e-04, 1.1282e-03, 9.8556e-01, 1.9669e-03],
       device='cuda:0')"
Religious,সালা মালাউনের বাচ্চা রেন্ডিয়ার বাচ্চা কাদের ধর্ম এর সবাই যানে তোগো ধর্ম নেতা কৃষ্ন ঐ মাগির পোলায় তো জাতীয় চুচ্চা আবার তোরা করস যৌন পূজা। তোগ ধর্ম নেতারা বলে নারী হচ্ছে ভোগের বস্তু তার মানে তোর মা বোনদের জায়গা ফাক সালা মালাউনের বাচ্চা ,2,2,"tensor([3.8594e-04, 2.6205e-04, 9.9848e-01, 6.4282e-04, 2.3242e-04],
       device='cuda:0')"
Geopolitical,স্বৈরাচার ছিলাম তবে এভাবে আন্তর্জাতিক স্বীকৃতি পাইনি ,3,3,"tensor([4.0003e-03, 1.7142e-03, 2.7136e-04, 9.9134e-01, 2.6704e-03],
       device='cuda:0')"
Geopolitical,ভাইরে কোনো হুশিয়ারিই কাজে আসবেনা।কারন ভারতের মাটিতে ভারতকে টেষ্টে হারানে অত সোজা না ।,3,3,"tensor([1.5496e-04, 5.9118e-04, 4.9070e-04, 9.9863e-01, 1.3492e-04],
       device='cuda:0')"
Geopolitical,আর টাকার নোট বন্ধ হতে ভারত বর্ষের মানুষের যতো অসুবিধা হয়েছে তার চেও বেশি অসুবিধা হয়েছে শোমোথিতো বি বি সি বাঙ্গলা,3,3,"tensor([1.9499e-03, 4.1947e-04, 4.2322e-04, 9.9659e-01, 6.2130e-04],
       device='cuda:0')"
Religious,তোর বাড়িতে অপরিচিত মুসলিম ঢুকে পড়লে তুই কি করবি মোদী শেটাই করচ্ছে!,2,2,"tensor([0.0318, 0.0011, 0.9459, 0.0013, 0.0199], device='cuda:0')"
Gender abusive,"মাগির ঘরের মাগি, তুই মর অপু ",4,4,"tensor([2.8825e-02, 1.2090e-03, 2.6106e-04, 4.9438e-04, 9.6921e-01],
       device='cuda:0')"
Gender abusive,শালী একটা মাগী অতিবিশিষ্ট  দের ছুদা দেয় ৷ ,4,4,"tensor([6.9405e-04, 8.3589e-04, 4.5818e-04, 2.4263e-04, 9.9777e-01],
       device='cuda:0')"
Political,সাংবাদিক ভাই আপনি এসব তুলে ধরেছেন আমার মনে হয় আপনাকে ও মেরে ফেলতে পারে আওয়ামী লীগ আপনি সাবধানে থাকবেন ,1,1,"tensor([3.2272e-04, 9.9788e-01, 1.4112e-04, 9.6934e-04, 6.8188e-04],
       device='cuda:0')"
Gender abusive,ঐ খানকির পোলারা বার্মাকে কিছু কইতে পারচ না?,4,4,"tensor([6.0942e-03, 2.2786e-04, 2.1599e-04, 7.2825e-04, 9.9273e-01],
       device='cuda:0')"
Geopolitical,বাংলাদেশকে কাদের হাতে তুলে দেওয়া হচ্ছে?,3,3,"tensor([2.2229e-03, 3.8574e-04, 7.6637e-04, 9.9648e-01, 1.4425e-04],
       device='cuda:0')"
Geopolitical,সেটা কোর্টে বল ভারতে আসতে এত ভয় কিসের??বাপ মারা গেলো তাও এলিনা।।এখন সাম্প্রদায়ীক তাস খেলছিস??এতে কোনো লাভ হবে বলে মনে হয়না।।পারলে ভারতে আয় কোর্টে যা নিজেকে নির্দোষ প্রমান কর।।,3,3,"tensor([1.2162e-04, 4.6550e-04, 2.2451e-04, 9.9903e-01, 1.6207e-04],
       device='cuda:0')"
Personal,কি বাজে কণ্ঠ!! এই বেডি অটো টিউন ছাড়া গানের দিকে আইলো কেমতে?? ,0,0,"tensor([0.9484, 0.0012, 0.0054, 0.0051, 0.0399], device='cuda:0')"
Political,বঙ্গবন্ধু ও আওয়ামীলীগকে এদেশের মানুষ ছুড়ে ফেলে দেবে ইনশাআল্লাহ। ,1,1,"tensor([5.7477e-04, 9.8216e-01, 4.2438e-04, 1.6205e-02, 6.3569e-04],
       device='cuda:0')"
Gender abusive,মাল ঠিক আছে খেলে আরাম পাওয়া যাবে সেক্সে পুরা শরীরটা ভরা,4,0,"tensor([9.7413e-01, 1.4496e-03, 8.5120e-04, 1.2387e-03, 2.2327e-02],
       device='cuda:0')"
Geopolitical,দেশকে দুর্নীতিতে চ্যাম্পিয়ন করে কালো টাকার পাহাড় গড়েছেন তারেক,3,1,"tensor([0.0011, 0.9283, 0.0011, 0.0686, 0.0009], device='cuda:0')"
Personal,"রোল ডাকার সময়, যখন স্যার বলে, যারা কালকে আসেনি তারা ১০ টাকা করে দাও তখন আমি যাক অন্তত মাইর থেকে বাচা গেল ",0,0,"tensor([9.9336e-01, 4.2771e-03, 4.0255e-04, 1.6370e-03, 3.2273e-04],
       device='cuda:0')"
Geopolitical,রোহিঙ্গা মুসলমানদের পাকিস্তানে নিয়ে যাস না কেন ? ,3,3,"tensor([3.1501e-03, 1.4036e-03, 1.5178e-01, 8.4321e-01, 4.5409e-04],
       device='cuda:0')"
Geopolitical,ইতিহাস সাক্ষি আছে ভারত কতবার চুদে খাল করেছে পাকিস্থান কে,3,3,"tensor([1.4793e-04, 4.0369e-04, 3.8722e-04, 9.9871e-01, 3.5604e-04],
       device='cuda:0')"
Political,সরকার কে সমর্থন করার জন্য ভি টি ভি আছে না কেন তারা কি এখন সরকারের দালালি ছেরে বাতাবি লেবুর দিকে নজর দিছে,1,1,"tensor([1.4491e-03, 9.9404e-01, 7.2433e-05, 3.4312e-03, 1.0054e-03],
       device='cuda:0')"
Geopolitical,লেডি হিটলারের কনসেন্টেশন ক্যাম্পে পরিনত হয়েছে জেলখানাগুলো ,3,3,"tensor([0.0049, 0.2556, 0.0017, 0.7354, 0.0025], device='cuda:0')"
Geopolitical,ভারত এত দি নে আসল অস্ত্র বের করা শুরু ক রে ছে পা কি রা যা বি কোথায়?,3,3,"tensor([1.0195e-03, 2.5503e-04, 1.0673e-04, 9.9752e-01, 1.1004e-03],
       device='cuda:0')"
Religious,পয়লা বৈশাখের কথিত মঙ্গল শোভাযাত্রা আর হিন্দু সম্প্রদায়ের রথযাত্রার মধ্যে পার্থক্য কোথায়? ,2,3,"tensor([1.3695e-02, 2.6951e-03, 1.6978e-01, 8.1355e-01, 2.8273e-04],
       device='cuda:0')"
Personal,ভিখারীরা ভিখারিই হয় যারা রানুর মতো মেয়ে হয় ,0,0,"tensor([9.9752e-01, 2.5808e-04, 1.0851e-04, 1.3026e-04, 1.9850e-03],
       device='cuda:0')"
Geopolitical,আপনার মতো সিটিংকে জায়গা দিয়ে ওনি এক ভুল করছেন আপনার কথায়কি আরো একটা ভুল করবে কি মোসলমানকে জায়গা দিয়া জায়গা ঠিকেই দিতো জদি ওনারা হিন্দু বা ভারতের লোক হোইতো,3,3,"tensor([5.0805e-03, 4.7470e-04, 1.6203e-03, 9.9109e-01, 1.7314e-03],
       device='cuda:0')"
Geopolitical,যুদ্ধ চাই না কিন্তু ভারতকে সমর্থন করি এই দুইটি ব্যাকই আপনার কোনটা সত্য?,3,3,"tensor([1.5152e-03, 4.5152e-04, 5.6595e-04, 9.9711e-01, 3.5693e-04],
       device='cuda:0')"
Geopolitical,মানবতার দিকেওতাকাবেন ওরা বাংলাদেশে আসলে খতি হবে তাহলে চোখে কালো চশমা পরেবসেথাকেন মাথা বেথার কারন নেই মরলে ওরা মরুক আমরাজেন না মরি কিন্তু কার সময় কেমনে যাবে এক আল্লাহ্ জানেন সরকার ভারতের মানুষ মরলে শোকজানান আর আজ তিরছেন তিনি বিভেকের কাছে পশ্ন্র করি আমরা কি মুসলিম জাতি হায় আল্লাহ্ তুমি ওদেরকে রহমত কর,3,3,"tensor([1.6660e-03, 4.3323e-04, 4.2428e-04, 9.9688e-01, 5.9982e-04],
       device='cuda:0')"
Political,আমি এক জন বাংলাদেশের মুসলমান  হিসাবে  আওয়ামীলীগ ও হাসিনা কে বয়কট করলাম।,1,1,"tensor([6.2122e-04, 9.9189e-01, 2.9276e-03, 3.9373e-03, 6.2791e-04],
       device='cuda:0')"
Personal,শুয়োর এর বাচ্চা দুরগারে চুদি কুত্তা দিয়া কালিরে চুদি পাঠা দিয়া তোর মারে চুদি আমার সোনা দিয়া সিং,0,2,"tensor([7.0609e-02, 1.7685e-03, 9.1466e-01, 8.0253e-04, 1.2159e-02],
       device='cuda:0')"
Political, মানবিক কারণে তাদেরকে বাংলাদেশে আশ্রয় দেওয়া এবং শরণার্থী শিবিরে থাকার ব্যবস্থা করা প্রয়োজন পাশাপাশি জাতিসংঘ ও এ ব্যাপারে বাংলাদেশ সরকারকে পরামর্শ দিয়েছেন অতএব জাতিসংঘ তাদের খাওয়া পডার ব্যপারে অবশ্যই সাহায্য ও সহযোগিতা হাত বাড়াবেন । আশাকরি বাংলাদেশ সরকার এ ব্যাপারে ইতিবাচক ভূমিকা রাখবেন এবং নিরিহ নিরাপরাদ রুহিঙ্গা আবাল বৃদ্দা বনিতাদের জীবন রক্ষায় এগিয়ে আসবেন। ,1,1,"tensor([0.0236, 0.9357, 0.0022, 0.0201, 0.0184], device='cuda:0')"
Personal,পায়ের জুতোকে মাথায় তোলা উচিত নয় ,0,0,"tensor([9.9635e-01, 4.0337e-04, 3.0802e-04, 5.0375e-04, 2.4372e-03],
       device='cuda:0')"
Personal, চট্টগ্রাম কলেজ হোস্টেল সুপার স্যারের সাথে ছাত্রলীগের বেয়াদবী ,0,3,"tensor([0.0731, 0.2582, 0.1812, 0.4800, 0.0075], device='cuda:0')"
Geopolitical,আর কত রক্ত ঝরলে নিষিদ্ধ করা হবে সন্ত্রাসী সংগঠন ছাত্রলীগকে,3,3,"tensor([0.0024, 0.0088, 0.0027, 0.9844, 0.0017], device='cuda:0')"
Religious,মুত্রের সাথে একমাস তিনবেলা করে গো মাংস খা  তোর মানুষিক সমস্যা ঠিক হয়ে যাবে। ,2,2,"tensor([0.0182, 0.0047, 0.6505, 0.0028, 0.3238], device='cuda:0')"
Geopolitical,ওয়েস্ট বেঙ্গল কোন জায়গায় এই পল্লি বলবেন কি এডামিন ,3,0,"tensor([0.9128, 0.0014, 0.0519, 0.0059, 0.0279], device='cuda:0')"
Religious,"আসলে তোমরা নাস্তিক রা হলা সর্ব হারা, মরার সময়ই বুঝবি শালারা।",2,2,"tensor([3.5015e-04, 7.3865e-04, 9.9844e-01, 2.9419e-04, 1.7856e-04],
       device='cuda:0')"
Political,মাহী সে মানুষ টা বেশী ভাল না । ,1,1,"tensor([1.0202e-03, 9.9723e-01, 2.5412e-04, 1.8793e-04, 1.3080e-03],
       device='cuda:0')"
Political,তুই তো একটা দেশের কুলঙ্গার আর যারে নিয়ে তুই কথা বলছিস সে তার বাপের ও বাপ ,1,0,"tensor([9.9093e-01, 5.4725e-03, 2.7725e-04, 2.8725e-03, 4.4585e-04],
       device='cuda:0')"
Religious, আরে মালাউনের বাচ্চারা সরাসরি বললেই পারিস জাকির নায়েক তোদের পাছায় লাদেন পটকা মেরেছে।। ,2,2,"tensor([3.6980e-04, 4.7883e-04, 9.9842e-01, 5.0994e-04, 2.2350e-04],
       device='cuda:0')"
Political,জামাত মানে রাজাকার বলে দিলেই হয়।,1,1,"tensor([3.6892e-04, 9.9618e-01, 9.6666e-04, 2.0644e-03, 4.2342e-04],
       device='cuda:0')"
Geopolitical,রোহিংঙ্গারা যদি মুসলিম না হোয়ে ভারতিও মালু হতো এতখনে জামাই আদর করে সরকার মালুদের দেশে নিয়ে আসছো,3,3,"tensor([5.9055e-04, 1.0435e-04, 1.2738e-03, 9.9731e-01, 7.2416e-04],
       device='cuda:0')"
Political,"সালার পুতেরা তোদের দৌড়ায় দৌড়ায় পিঠা, সব ঠিক হয়ে যাবে । ",1,1,"tensor([0.1240, 0.8508, 0.0009, 0.0182, 0.0062], device='cuda:0')"
Religious,নাস্তিকেরা এইসব গরু - ছাগল কই থেকে যে আনে ,2,2,"tensor([2.6720e-03, 8.1397e-04, 9.9589e-01, 2.3843e-04, 3.8216e-04],
       device='cuda:0')"
Personal,"গাড়ে টুনি ঝুলিয়ে ছবি তুলে তারপর বলো ট্যাগ করবেন না, তোমার ঐ বালের ছবি বালেই ঝুলিয়ে রাখো ",0,0,"tensor([0.4979, 0.0007, 0.0061, 0.0123, 0.4829], device='cuda:0')"
Gender abusive,আমারে একটা ছেলে দেকে বিয়ে দাও।কারন আমার জালা সইতে পারিনা।মাগি কোথাকার। ,4,0,"tensor([9.8360e-01, 2.9422e-03, 5.4542e-04, 2.6062e-04, 1.2652e-02],
       device='cuda:0')"
Geopolitical,পাকিস্তানের মত আবাল দেশের দালালি করে লাভটা কি?,3,3,"tensor([2.7910e-04, 2.7848e-03, 9.2952e-04, 9.9581e-01, 1.9751e-04],
       device='cuda:0')"
Political, আর ওরাই কিনা জামায়াত শিবিরের দোষ তুটি খুজে গরু ,1,1,"tensor([8.4692e-04, 9.8699e-01, 5.5383e-04, 1.1022e-02, 5.9074e-04],
       device='cuda:0')"
Personal,রানুর মতো একটা ভিখারি যেমন পায়ের জুতো অনেক দামি হলেও তাকে কেউ মাথায় তুলে রাখে না তেমন তার মতো একটা ফালতু শিল্পীকে পাপসের মতো পায়ের নিচে রাখায় উচিত ,0,0,"tensor([9.8999e-01, 1.9384e-04, 2.2186e-04, 4.6149e-04, 9.1308e-03],
       device='cuda:0')"
Personal,কোথায় কোয়েল মল্লিক রানু মন্ডলকে জুতো ছুঁড়ে মারলেন? ভূলভাল টাইটেল দিয়ে দর্শক টানতে চাইছেন? যত্তসব চিটিংবাজী কথাবার্তা৷ ,0,0,"tensor([9.9380e-01, 1.5883e-04, 2.4507e-04, 4.6417e-03, 1.1544e-03],
       device='cuda:0')"
Religious,মালাউনের বাচ্চারা আর কোনোদিন ভালো হবেনা,2,2,"tensor([2.9870e-04, 1.9646e-04, 9.9913e-01, 2.5838e-04, 1.1309e-04],
       device='cuda:0')"
Geopolitical,ভারতের জন্য শোক প্রকাশ করে কেন তার কারণ সাধারন মানুষ এর মাথায় ঢুকে না।শুধু ব্যাংঙ এর মত লাফাতে পারলে বগর বগর করলে বাঁচে এটাই বাংঙালির আসল পরিচয়।,3,3,"tensor([3.1019e-04, 4.0644e-04, 4.4146e-04, 9.9858e-01, 2.6205e-04],
       device='cuda:0')"
Personal,"বাল পেটের দায় করে যারা বলছিস , ওদের তো দেখতে হাতির মতো কাজ করে খেতে পারে না শর্টকাট কাজ পেলো ",0,4,"tensor([0.4333, 0.0030, 0.0010, 0.0019, 0.5608], device='cuda:0')"
Personal,পায়খানা দিয়ে দিবো রানু মন্ডলের মুখে ,0,0,"tensor([9.4193e-01, 5.5945e-04, 5.8868e-04, 5.7959e-04, 5.6347e-02],
       device='cuda:0')"
Geopolitical,আপনি বাংলাদেশের সরকার আপনি এক জন মুসলমান আর আপনার পাশের দেশ মায়ানমার এই দেশে মুসলিমদের গন হত্য করা হচ্চে আপনি সেই দিকে দুক্ষ প্রকাশ না করে বলতেচেন ভারতের ট্রেন দুরগটনায় আপনার দুক্ষ হইতেচে আপনি কি মুসলমান না আপনিওত এক জন মুসলিম মুসলিমদের কতা বাবুন?,3,3,"tensor([3.7311e-04, 3.5676e-04, 8.8366e-04, 9.9809e-01, 2.9597e-04],
       device='cuda:0')"
Geopolitical,দেশের খবর বাদ দিয়া শুধু রেন্ডিয়ার খবর চোদাও কেন? হারামীর বাচ্চারা,3,3,"tensor([1.2522e-03, 7.3205e-04, 3.5973e-04, 9.9724e-01, 4.1119e-04],
       device='cuda:0')"
Gender abusive,চুতমারানি তোরে চুদী। কুত্তা দিয়া চোদামু ,4,4,"tensor([3.5496e-02, 2.4093e-03, 2.8713e-03, 4.4374e-04, 9.5878e-01],
       device='cuda:0')"
Personal, আপনাদেরখালেদাকে নিয়ে এত ভয় কেন।খালেদা জিয়া নালিশ করার দরকার কি আছে।আপনারা কি ভাবে খমতায় এসেছেন কি ভাবে খমতা পাকা পোক্ত করার জন্য চেষ্টা করছেন কিভাবে বিরোধী দল দমনে ব্যাস্ত তা কি আমাদের দেশের বিভিন্ন দূতাবাস গুলো দেখছে না?আপনারা কিছু হলেই বিএনপি মেডাম জিয়াকে নিয়ে অস্হির হয়ে যান।এই সমস্ত ভাংগা রেকর্ড আর বাজিয়ে লাভ নেই।বাংলাদেশীরা এত বোকা নয়।তারা সব কিছু বুঝে। ,0,0,"tensor([0.5123, 0.4584, 0.0007, 0.0203, 0.0083], device='cuda:0')"
Political,"ছাএলিগের রাজনীতি বন্দ করতে হবে,তাহলে দেশবাসি এবং ছাএ সমাজ রক্ষা পাবে? ",1,1,"tensor([8.9275e-04, 9.9331e-01, 9.4806e-04, 4.4186e-03, 4.3564e-04],
       device='cuda:0')"
Political,বিএনপি শুরু করছে আর হাসিনা দিদি শেষ করে দিল। যারা দেশের প্রধান তাদের দিকেই সবার নজর থাকে সব সময় । এই বার আওয়ামী লীগের পালা ।,1,1,"tensor([6.8811e-04, 9.9733e-01, 2.1487e-04, 7.0022e-04, 1.0639e-03],
       device='cuda:0')"
Geopolitical,ভারতের শুধু মুখেই বক বক।তাছাড়া যারা কিনা খায় গরুর মূত তারা শুধুই করব ফুৎ ফুৎ।,3,3,"tensor([2.1381e-04, 3.5550e-04, 3.8153e-04, 9.9884e-01, 2.0920e-04],
       device='cuda:0')"
Religious,ও হিনদু রা এই জারোজ টাকে নিজেদের বোনধু মোনে কোরো না কারোন ও গেছে হিনদুদের কোচি কোচি মেয়েদের পুজো কোরতে,2,2,"tensor([1.5358e-02, 9.9507e-04, 9.8195e-01, 6.5836e-04, 1.0437e-03],
       device='cuda:0')"
Geopolitical,ভারত ডাঃ জাকির নায়েক কে দিয়ে ধর্ম নিরপেক্ষতার সাটিপিকেট পেতে ছেয়ে ছিল।তারা যে জাতী হিসেবে কতটা ধর্মান্ধ তা বড় নিলজ্জ ভাবে পকাশ পেয়ে গেছে।,3,3,"tensor([1.0933e-03, 2.3467e-03, 3.6935e-01, 6.2682e-01, 3.9126e-04],
       device='cuda:0')"
Political,"আ,লীগে বাটি চালান দিয়েও একজন ভালো মানুষ পাওয়া যাবেনা ",1,1,"tensor([3.9083e-03, 9.9331e-01, 1.0020e-04, 1.7220e-03, 9.5781e-04],
       device='cuda:0')"
